X1 (mm),Y1 (mm),Z1 (mm)
3370.533239841461,-900.0586355,3354.847364425659
3459.603870868683,-935.2239894,3446.343201637268
3483.8325113654137,-953.2525956,3473.376062631607
3500.3419223427773,-969.3225328,3492.7842705249786
3513.3149634599686,-984.5302577,3508.7267270088196
3518.599343419075,-997.6638041,3517.044530391693
3515.5220777988434,-1008.453968,3517.044530391693
3511.719307243824,-1019.033806,3516.351380109787
3508.576428115368,-1029.802869,3516.351380109787
3506.7825734615326,-1040.972416,3517.7376806735992
3510.475799739361,-1053.798505,3524.6691834926605
3513.4338562488556,-1066.447749,3530.9075360298157
3520.4817037582397,-1080.393799,3541.3047902584076
3524.7232055664062,-1093.538818,3548.929443359375
3556.4275869727135,-1115.347717,3584.2801077365875
3930.8936052918434,-1246.044407,3965.512762784958
3964.1193509101868,-1269.973427,4002.942878007889
3933.4599924087524,-1273.470652,3975.910017
3903.502245,-1277.015926,3949.570306301117
0,0,0
3884.654169201851,-1297.290293,3938.479901790619
3858.117661178112,-1301.598518,3915.6059424877167
3841.143468618393,-1309.011336,3902.4360871315002
3838.4722900390625,-1321.25885,3903.8223876953125
3833.719841301441,-1332.792158,3903.1292374134064
3820.771796107292,-1341.443559,3894.1182837486267
3821.393810212612,-1354.845213,3898.9703357219696
3802.9683351516724,-1361.46086,3884.414179801941
3804.1962678432465,-1375.082023,3889.959382
3799.2826960086823,-1386.499563,3889.266231775284
3796.363911151886,-1398.647362,3890.652532339096
3787.325677,-1408.529046,3885.800480365753
3774.2142872214317,-1416.848644,3876.7895267009735
3767.827399969101,-1427.654858,3874.710075855255
3760.7366527318954,-1438.177876,3871.9374747276306
3761.6863338947296,-1451.785023,3877.4826769828796
3764.6028849482536,-1466.196437,3885.107330083847
3768.8080580234528,-1481.166614,3894.1182837486267
3777.6466023921967,-1498.036161,3907.9812893867493
4568.060123085976,-1827.715172,4731.443824291229
4585.156462192535,-1850.894699,4755.010933876038
4584.79704,-1867.127954,4760.556136131287
4589.714656,-1885.567621,4771.646540641785
